,index,Selected Characteristics,Characteristic Breakdown,Not Voting (in thousands),Illness or Disability (%),Out of Town (%),Forgot to Vote (%),Not Interested (%),"Too Busy, Conflicting Schedule (%)",Transporation Problems (%),Did Not Like Candidates or Campaign Issues (%),Registration Problems (%),Bad Weather Conditions (%),Inconvenient Polling Place (%),Other Reason (%),Dont Know or Refused (%)
0,0,Total,,47593,10.8,9.5,8.3,16.4,28.2,2.1,7.6,2.4,0.4,2.3,9.1,2.9
1,1,Age,18 to 24 years,6193,2.7,13.6,10.2,17.4,31.7,2.0,3.9,3.2,0.0,2.2,8.0,5.1
2,2,Age,25 to 44 years,19194,5.1,7.5,8.7,15.9,37.4,1.4,6.0,2.9,0.2,2.5,9.6,2.8
3,3,Age,45 to 64 years,15341,11.1,10.4,7.9,17.3,25.1,2.0,9.7,1.9,0.4,2.6,8.7,2.8
4,4,Age,65 years and over,6864,33.7,9.4,6.3,14.6,6.5,4.7,10.6,1.3,1.2,1.0,9.2,1.6
5,5,Sex,Male,21922,7.5,11.9,7.8,17.0,29.1,1.7,8.0,2.3,0.2,2.3,8.9,3.4
6,6,Sex,Female,25670,13.7,7.5,8.6,15.8,27.5,2.5,7.3,2.5,0.5,2.2,9.3,2.5
7,7,Race and Hispanic Origin,White alone,37878,11.1,9.9,7.8,16.8,27.9,1.7,8.1,2.4,0.4,2.3,9.0,2.6
8,8,Race and Hispanic origin,.White non-Hispanic alone,32791,11.5,10.4,7.0,17.2,27.3,1.8,8.3,2.4,0.4,2.1,9.0,2.7
9,9,Race and Hispanic origin,Black alone,6204,11.2,7.6,9.5,14.1,29.5,4.3,5.2,2.3,0.2,2.7,9.5,3.9
10,10,Race and Hispanic origin,Asian alone,1985,5.4,11.4,10.8,13.6,36.1,1.5,3.4,2.4,0.9,2.3,7.5,4.5
11,11,Race and Hispanic origin,Hispanic (of any race),5835,8.8,6.1,12.6,15.6,31.1,1.5,7.1,2.5,0.2,3.4,9.3,2.0
12,12,Race and Hispanic origin,White alone or in combination,38702,11.1,9.8,7.9,16.8,27.7,1.8,8.2,2.5,0.4,2.2,9.0,2.7
13,13,Race and Hispanic origin,Black alone or in combination,6512,11.1,7.3,9.6,14.8,29.0,4.1,5.5,2.2,0.2,2.6,9.5,4.0
14,14,Race and Hispanic origin,Asian alone or in combination,2180,5.3,10.9,10.9,14.0,36.8,1.4,3.3,2.9,0.8,2.1,7.3,4.3
15,15,Educational Attainment,Less than high school graduate,4592,20.0,7.7,8.6,17.8,15.7,6.1,8.3,2.4,0.4,1.7,9.1,2.2
16,16,Educational attainment,High school graduate,14787,13.0,6.9,9.0,19.4,24.7,2.5,8.6,1.6,0.4,2.2,8.3,3.3
17,17,Educational attainment,Some college,15693,9.2,9.8,8.8,15.4,30.6,1.6,7.3,2.2,0.3,2.6,9.3,2.9
18,18,Educational attainment,Bachelors degree or more,12521,6.9,12.9,6.5,13.4,34.0,0.9,6.6,3.6,0.5,2.2,9.7,2.8
19,19,Nativity,Native-born citizen,43572,11.1,9.5,8.2,16.7,27.7,2.2,7.7,2.4,0.4,2.2,9.1,2.9
20,20,Nativity,Naturalized citizen,4020,8.6,10.0,8.5,12.9,33.6,1.5,6.8,2.8,0.4,2.7,8.7,3.5
21,21,Duration of Residence,Less than 1 year,7101,4.7,9.6,9.0,15.0,30.7,2.7,5.9,7.9,0.2,2.2,9.9,2.3
22,22,Duration of residence,1 to 2 years,7413,6.8,9.1,8.5,16.7,33.8,1.7,6.5,3.5,0.3,2.2,8.7,2.1
23,23,Duration of residence,3 years or longer,32361,13.1,9.7,8.2,16.6,26.5,2.2,8.3,0.9,0.5,2.3,8.9,2.9
24,24,Duration of residence,Don't know or refused,718,11.8,6.2,1.4,17.9,26.2,0.5,3.9,2.2,0.4,1.3,10.8,17.4
25,25,Region,Northeast,9073,12.9,9.7,6.3,17.8,28.0,1.4,7.9,2.5,0.3,1.9,8.2,3.1
26,26,Region,Midwest,11026,10.5,9.1,7.0,17.6,28.6,2.8,7.8,1.2,0.4,2.1,9.6,3.2
27,27,Region,South,18466,11.7,10.2,7.0,15.3,28.7,2.6,7.7,2.8,0.6,2.8,8.4,2.3
28,28,Region,West,9027,7.4,8.3,14.4,15.6,27.1,1.1,6.7,2.8,0.0,1.9,10.7,3.9
29,29,Income,Total family members,34153,10.2,9.8,8.5,16.5,29.4,1.6,7.4,1.9,0.3,2.5,8.7,3.2
30,30,Family income2,"Less than $10,000",1316,11.6,5.1,8.3,22.2,23.9,8.3,5.6,2.8,0.3,1.7,9.0,1.3
31,31,Family income2,"$10,000 to $14,999",1081,16.0,5.7,11.8,17.9,21.0,4.7,7.8,2.4,0.5,1.9,7.1,3.3
32,32,Family income2,"$15,000 to $19,999",964,18.5,1.9,14.3,18.0,20.4,4.1,6.5,3.6,0.2,3.1,7.9,1.4
33,33,Family income2,"$20,000 to $29,999",2967,16.0,5.6,10.0,15.3,24.1,3.0,8.9,2.4,0.6,2.0,9.2,3.0
34,34,Family income2,"$30,000 to $39,999",3037,14.2,6.9,9.8,16.8,25.0,2.0,8.1,1.3,0.3,2.4,10.7,2.4
35,35,Family income2,"$40,000 to $49,999",2491,11.3,8.7,9.0,17.3,30.1,1.0,6.4,1.9,0.5,3.2,8.8,1.8
