,index,Selected Characteristics,Characteristic Breakdown,Not Voting (in thousands),Illness or Disability (%),Out of Town (%),Forgot to Vote (%),Not Interested (%),"Too Busy, Conflicting Schedule (%)",Transporation Problems (%),Did Not Like Candidates or Campaign Issues (%),Registration Problems (%),Bad Weather Conditions (%),Inconvenient Polling Place (%),Other Reason (%),Dont Know or Refused (%)
0,0,Total,,19141,14.0,8.6,3.9,15.7,18.9,3.3,12.7,5.5,0.8,2.7,11.1,3.0
1,1,Age,18 to 24 years,3073,3.1,14.8,5.0,14.0,20.8,4.9,9.9,9.4,0.7,2.1,11.5,4.0
2,2,Age,25 to 44 years,7591,5.6,7.4,4.1,18.3,25.5,2.5,11.7,5.9,0.6,3.4,12.2,2.8
3,3,Age,45 to 64 years,5505,16.5,8.7,3.7,14.9,16.7,2.7,16.5,4.3,0.8,2.6,9.6,2.9
4,4,Age,65 years and over,2972,42.0,4.8,2.5,12.2,4.1,4.7,10.9,2.5,1.3,1.5,10.7,2.7
5,5,Sex,Male,9281,9.6,11.2,3.6,17.5,20.2,2.5,13.8,5.3,0.6,2.5,10.1,3.1
6,6,Sex,Female,9860,18.1,6.1,4.1,14.0,17.7,4.0,11.6,5.6,0.9,2.9,12.1,2.9
7,7,Race and Hispanic Origin,White alone,16010,13.9,8.7,3.5,16.3,18.4,2.8,13.9,5.4,0.8,2.7,10.8,2.8
8,8,Race and Hispanic origin,.White non-Hispanic alone,13953,14.3,8.9,3.2,16.3,17.8,2.7,14.5,5.2,0.9,2.7,10.7,2.7
9,9,Race and Hispanic origin,Black alone,1742,16.3,5.6,6.6,11.2,23.0,6.4,3.2,6.7,0.8,3.6,12.6,4.0
10,10,Race and Hispanic origin,Asian alone,698,12.4,13.4,4.3,11.7,23.8,2.5,7.4,5.2,0.5,0.8,13.8,4.0
11,11,Race and Hispanic origin,Hispanic (of any race),2365,11.5,7.4,6.4,15.1,22.9,2.7,9.4,6.1,0.7,2.7,11.9,3.2
12,12,Race and Hispanic origin,White alone or in combination,16363,13.8,8.7,3.6,16.3,18.3,2.9,13.9,5.4,0.8,2.6,10.9,2.8
13,13,Race and Hispanic origin,Black alone or in combination,1866,16.1,5.9,6.7,11.7,22.3,6.3,3.3,6.7,0.7,3.4,13.2,3.9
14,14,Race and Hispanic origin,Asian alone or in combination,790,12.7,12.6,4.3,13.4,22.4,2.3,7.0,5.3,0.4,0.7,14.5,4.3
15,15,Educational Attainment,Less than high school graduate,2589,25.5,4.0,4.9,13.5,11.4,7.4,11.6,3.5,1.0,2.6,12.5,2.2
16,16,Educational attainment,High school graduate,6957,14.3,6.4,3.9,18.2,19.1,3.8,13.0,4.2,0.7,2.8,9.9,3.7
17,17,Educational attainment,Some college,6122,11.0,9.5,3.4,15.1,20.9,2.2,13.5,6.5,0.5,2.8,11.6,3.0
18,18,Educational attainment,Bachelors degree or more,3473,10.0,14.6,3.8,13.5,20.7,1.3,11.3,7.6,1.2,2.2,11.7,2.1
19,19,Nativity,Native-born citizen,17746,13.8,8.4,3.9,16.0,18.5,3.4,13.0,5.5,0.8,2.7,11.1,3.0
20,20,Nativity,Naturalized citizen,1395,15.8,11.1,3.9,12.4,24.3,1.6,8.4,4.8,0.9,2.4,11.3,3.2
21,21,Duration of Residence,Less than 1 year,3770,7.8,9.1,4.5,14.0,20.1,4.4,10.3,11.7,0.9,2.2,13.3,1.8
22,22,Duration of residence,1 to 2 years,2871,10.6,8.6,5.0,14.2,20.6,4.0,12.6,8.4,0.4,2.8,11.0,1.8
23,23,Duration of residence,3 years or longer,12292,16.6,8.4,3.4,16.7,18.2,2.8,13.6,3.0,0.9,2.8,10.5,3.1
24,24,Duration of residence,Don't know or refused,208,16.1,8.0,4.0,6.0,14.0,1.4,4.6,1.0,0.0,1.8,10.1,32.9
25,25,Region,Northeast,3451,15.3,8.7,2.9,17.2,17.1,3.9,11.9,3.4,3.5,1.7,10.8,3.6
26,26,Region,Midwest,4336,13.8,8.9,2.6,16.2,20.4,3.1,15.7,4.4,0.2,2.5,9.6,2.5
27,27,Region,South,7995,15.0,8.4,3.6,15.7,18.9,3.3,12.1,5.4,0.2,3.3,11.0,3.2
28,28,Region,West,3359,10.6,8.5,7.2,13.4,18.9,3.0,10.9,9.1,0.1,2.3,13.6,2.4
29,29,Income,Total family members,13189,13.3,9.0,3.6,15.8,20.3,2.9,12.8,4.5,0.9,2.9,11.0,3.0
30,30,Family income2,"Less than $10,000",828,20.9,3.5,4.7,12.8,10.9,12.5,8.6,5.5,1.4,1.9,13.6,3.6
31,31,Family income2,"$10,000 to $14,999",630,14.0,4.7,3.4,16.8,19.8,5.1,11.6,6.5,0.5,3.3,12.8,1.5
32,32,Family income2,"$15,000 to $19,999",494,26.4,5.3,1.2,15.0,13.7,9.6,13.2,4.5,0.0,1.5,7.7,1.8
33,33,Family income2,"$20,000 to $29,999",1397,22.4,4.4,3.8,13.1,15.3,4.6,15.0,5.4,1.0,2.0,11.3,1.6
34,34,Family income2,"$30,000 to $39,999",1385,15.7,5.8,4.2,15.2,22.1,2.0,12.7,3.6,0.2,2.6,12.5,3.5
35,35,Family income2,"$40,000 to $49,999",1104,13.4,8.2,5.1,18.4,23.5,2.4,10.9,1.9,0.8,2.7,9.9,2.8
36,36,Family income2,"$50,000 to $74,999",2323,9.3,9.6,3.3,17.1,22.3,0.8,13.6,4.6,1.3,3.5,11.5,3.1
37,37,Family income2,"$75,000 to $99,999",1336,9.3,9.8,3.7,15.8,23.7,0.8,14.1,5.2,0.6,2.4,11.9,2.8
38,38,Family income2,"$100,000 to $149,999",1351,6.7,14.2,1.6,17.9,25.7,1.1,13.3,5.3,0.0,3.4,9.1,1.6
39,39,Family income2,"$150,000 and over",913,7.6,23.9,1.9,13.5,17.0,1.6,8.5,5.6,3.9,2.6,11.0,2.9
40,40,Family income2,Income not reported,1429,13.3,7.2,5.4,15.8,19.9,1.2,14.7,2.7,0.4,4.0,8.8,6.5
