,index,Selected Characteristics,Characteristic Breakdown,Not Voting (in thousands),Illness or Disability (%),Out of Town (%),Forgot to Vote (%),Not Interested (%),"Too Busy, Conflicting Schedule (%)",Transporation Problems (%),Did Not Like Candidates or Campaign Issues (%),Registration Problems (%),Bad Weather Conditions (%),Inconvenient Polling Place (%),Other Reason (%),Dont Know or Refused (%)
0,0,TOTAL,,39453,11.3,9.2,8.0,16.4,26.6,2.4,8.6,3.3,0.1,2.1,9.0,3.1
1,1,Age,18 to 24 years,5863,3.4,12.4,10.1,15.4,30.4,2.1,4.7,5.6,0.0,2.3,8.4,5.1
2,2,Age,25 to 44 years,16633,5.7,7.6,8.7,16.9,33.7,1.9,7.6,3.6,0.1,2.6,8.9,2.6
3,3,Age,45 to 64 years,11782,12.2,10.6,7.4,16.4,24.1,2.3,10.6,2.2,0.1,1.8,9.2,3.1
4,4,Age,65 years and over,5176,36.4,7.1,4.6,15.5,5.1,5.0,11.5,2.1,0.5,0.7,9.5,2.2
5,5,Sex,Male,17974,8.3,11.7,7.9,17.6,27.1,1.9,8.9,2.8,0.1,2.3,8.1,3.3
6,6,Sex,Female,21480,13.8,7.1,8.0,15.3,26.1,2.9,8.3,3.7,0.2,1.9,9.7,2.9
7,7,Race and Hispanic Origin,White alone,32526,11.1,9.4,7.8,16.6,26.4,2.1,9.2,3.2,0.1,1.9,9.1,3.1
8,8,Race and Hispanic origin,White non-Hispanic alone,28727,11.3,9.7,7.0,16.7,26.3,2.0,9.4,3.3,0.1,1.9,9.2,3.1
9,9,Race and Hispanic origin,Black alone,4658,13.9,7.5,8.5,16.4,24.9,5.1,4.9,3.3,0.5,3.5,8.7,2.8
10,10,Race and Hispanic origin,Asian alone,1326,8.0,10.2,6.0,12.5,39.7,2.0,5.6,3.6,0.0,1.4,6.8,4.3
11,11,Race and Hispanic origin,Hispanic (of any race),4137,9.1,7.3,14.0,15.6,27.0,2.7,7.6,2.8,0.2,2.3,8.5,2.9
12,12,Race and Hispanic origin,White alone or in combination,33073,11.1,9.4,7.9,16.5,26.3,2.1,9.3,3.3,0.1,1.9,9.1,3.1
13,13,Race and Hispanic origin,Black alone or in combination,4869,13.5,7.3,8.8,16.3,25.2,5.0,5.0,3.3,0.5,3.3,8.9,3.0
14,14,Race and Hispanic origin,Asian alone or in combination,1430,7.6,10.1,8.1,12.7,37.9,1.9,6.0,3.5,0.0,1.4,6.7,4.0
15,15,Educational Attainment,Less than high school graduate,4300,22.4,5.8,8.2,17.8,15.0,5.6,8.1,2.5,0.3,1.6,9.4,3.4
16,16,Educational attainment,High school graduate,12798,12.4,6.9,9.3,19.4,22.8,3.1,9.6,2.6,0.2,1.9,8.3,3.6
17,17,Educational attainment,Some college,13067,9.1,9.6,8.2,14.5,29.4,1.7,8.6,3.5,0.1,2.3,9.6,3.3
18,18,Educational attainment,Bachelors degree or more,9289,7.8,13.1,5.8,14.2,33.2,1.2,7.4,4.3,0.1,2.2,8.9,1.9
19,19,Nativity,Native-born citizen,36705,11.3,9.0,8.0,16.5,26.4,2.5,8.7,3.3,0.2,2.1,9.1,3.1
20,20,Nativity,Naturalized citizen,2748,11.4,11.2,8.2,14.6,29.2,1.9,7.7,3.2,0.0,1.7,7.5,3.4
21,21,Duration of Residence,Less than 1 year,6655,6.5,8.8,9.7,13.9,26.8,3.4,5.2,9.8,0.1,2.2,10.9,2.8
22,22,Duration of residence,1 to 2 years,6288,6.9,7.0,8.4,16.7,30.5,2.3,7.4,5.0,0.2,2.7,10.6,2.3
23,23,Duration of residence,3 years or longer,26005,13.7,9.8,7.5,17.0,25.5,2.2,9.8,1.2,0.1,1.9,8.1,3.0
24,24,Duration of residence,Don't know or refused,505,8.0,7.3,4.8,10.8,28.3,3.7,5.8,3.0,0.5,0.0,7.8,20.0
25,25,Region,Northeast,7335,11.8,10.3,5.1,17.7,27.8,1.6,9.9,2.4,0.0,1.4,8.5,3.5
26,26,Region,Midwest,9534,10.8,8.9,6.6,16.4,27.2,2.6,9.4,3.4,0.0,2.3,9.8,2.6
27,27,Region,South,16182,12.5,8.7,8.9,16.9,26.2,3.1,7.4,2.8,0.3,2.2,7.8,3.2
28,28,Region,West,6403,8.4,9.5,11.1,13.3,25.3,1.6,8.9,5.4,0.1,2.3,11.3,3.0
29,29,Income,Total family members,27909,10.2,9.2,8.2,16.5,27.9,2.2,8.9,2.9,0.1,2.1,8.6,3.2
30,30,Family income2,"Less than $10,000",1349,15.0,5.7,11.4,12.9,21.5,7.5,7.0,4.8,0.0,1.1,10.7,2.4
31,31,Family income2,"$10,000 to $14,999",1225,16.2,5.8,11.4,20.4,19.3,5.5,7.4,2.8,0.6,1.1,6.2,3.3
32,32,Family income2,"$15,000 to $19,999",1101,19.2,3.1,11.2,16.1,19.4,4.4,6.3,1.9,0.2,2.0,14.2,2.0
33,33,Family income2,"$20,000 to $29,999",2660,15.9,5.2,9.7,16.0,23.8,3.0,9.0,3.3,0.2,1.8,8.8,3.3
34,34,Family income2,"$30,000 to $39,999",2716,11.3,5.4,10.1,17.3,24.3,2.8,10.4,4.3,0.3,2.4,8.8,2.7
35,35,Family income2,"$40,000 to $49,999",2030,8.5,7.3,8.9,19.9,27.0,1.1,9.2,3.8,0.0,1.7,8.0,4.5
36,36,Family income2,"$50,000 to $74,999",5109,8.1,7.9,8.2,16.1,30.0,1.4,9.7,2.6,0.1,2.8,9.8,3.3
37,37,Family income2,"$75,000 to $99,999",3233,5.7,10.4,8.3,16.3,33.8,0.8,10.4,1.6,0.0,2.5,8.2,2.0
38,38,Family income2,"$100,000 to $149,999",2927,5.1,15.1,6.3,16.7,32.1,0.1,7.4,3.5,0.0,2.0,8.0,3.8
39,39,Family income2,"$150,000 and over",2155,7.6,20.8,3.6,13.9,33.9,0.8,5.5,2.6,0.0,1.8,7.0,2.4
40,40,Family income2,Income not reported,3403,12.7,9.6,5.9,16.2,27.1,2.7,10.1,2.0,0.1,1.8,7.2,4.6
