,index,Selected Characteristics,Characteristic Breakdown,Not Voting (in thousands),Illness or Disability (%),Out of Town (%),Forgot to Vote (%),Not Interested (%),"Too Busy, Conflicting Schedule (%)",Transporation Problems (%),Did Not Like Candidates or Campaign Issues (%),Registration Problems (%),Bad Weather Conditions (%),Inconvenient Polling Place (%),Other Reason (%),Dont Know or Refused (%)
0,0,TOTAL, ,29089,12.8,9.2,5.6,15.5,26.9,2.9,5.4,3.1,0.6,3.3,11.8,3.0
1,1,Age,18 to 24 years,4083,4.3,13.4,7.1,15.1,31.0,1.1,3.2,5.0,0.1,4.3,11.0,4.4
2,2,Age,25 to 44 years,11371,5.6,8.0,5.9,16.8,35.4,2.0,3.8,3.6,0.3,3.5,12.0,3.0
3,3,Age,45 to 64 years,8825,12.4,10.5,5.0,15.9,25.3,3.1,6.4,2.4,0.6,3.7,11.9,2.8
4,4,Age,65 years and over,4810,37.6,6.1,4.5,12.0,6.0,6.3,9.1,1.7,1.5,1.2,11.5,2.5
5,5,Sex,Male,13880,9.6,11.2,5.7,16.5,27.6,2.1,5.6,2.8,0.5,3.2,11.6,3.4
6,6,Sex,Female,15209,15.7,7.4,5.4,14.6,26.2,3.6,5.1,3.4,0.7,3.4,11.9,2.7
7,7,Race and Hispanic origin,White alone,23261,12.7,9.5,5.4,16.0,27.0,2.5,5.7,3.0,0.6,3.4,11.2,2.9
8,8,Race and Hispanic origin,White non-Hispanic alone,20043,13.3,9.9,5.1,15.8,26.6,2.4,5.8,2.9,0.5,3.3,11.4,3.0
9,9,Race and Hispanic origin,Black alone,3483,14.9,5.7,6.3,14.2,24.9,6.1,3.2,3.8,0.4,3.1,13.7,3.6
10,10,Race and Hispanic origin,Asian alone,1289,8.7,13.5,5.8,10.9,29.1,1.4,6.2,2.2,1.1,3.2,13.9,4.0
11,11,Race and Hispanic origin,Hispanic (of any race),3564,8.9,7.7,7.2,17.1,29.9,2.8,5.3,4.1,0.8,3.8,10.4,2.0
12,12,Race and Hispanic origin,White alone or in combination,23833,12.7,9.5,5.4,15.9,27.0,2.5,5.7,3.0,0.6,3.4,11.4,2.9
13,13,Race and Hispanic origin,Black alone or in combination,3776,14.7,5.6,6.2,14.4,25.2,5.7,3.2,3.9,0.4,3.2,14.0,3.5
14,14,Race and Hispanic origin,Asian alone or in combination,1417,8.8,13.4,5.6,11.4,29.2,1.3,5.7,2.3,1.0,3.0,14.2,4.1
15,15,Educational attainment,Less than high school graduate,2889,24.0,4.9,6.4,16.2,17.4,6.3,5.8,1.7,1.2,2.8,11.0,2.2
16,16,Educational attainment,High school graduate,9735,13.2,6.9,5.8,17.9,25.3,3.2,6.2,2.9,0.7,3.3,11.1,3.3
17,17,Educational attainment,Some College,9606,11.3,9.7,5.9,14.8,28.9,2.4,4.9,3.3,0.4,3.6,11.7,3.1
18,18,Educational attainment,Bachelors Degree or more,6860,9.4,13.5,4.4,12.7,30.2,1.8,4.7,3.9,0.3,3.0,13.1,2.9
19,19,Nativity,Native-born citizen,26494,12.9,8.9,5.6,15.6,27.0,2.9,5.5,3.2,0.5,3.3,11.6,3.1
20,20,Nativity,Naturalized citizen,2595,11.9,12.8,5.2,14.0,25.8,3.1,4.4,2.5,1.0,3.5,13.0,2.8
21,21,Duration of residence,Less than 1 year,4811,7.4,9.1,6.5,12.8,27.5,3.1,4.3,8.1,0.3,3.9,15.0,2.0
22,22,Duration of residence,1 to 2 years,4419,8.7,8.0,5.8,15.4,33.1,2.7,5.3,4.6,0.1,3.4,10.7,2.3
23,23,Duration of residence,3 years or longer,19469,15.1,9.5,5.3,16.3,25.3,3.0,5.7,1.6,0.7,3.2,11.2,3.2
24,24,Duration of residence,"Don't know, refused",390,8.6,9.0,6.3,10.9,24.7,0.8,2.9,1.9,1.7,1.5,13.8,17.9
25,25,Region,Northeast,5072,15.5,11.0,3.9,14.9,25.9,2.6,5.4,3.4,1.6,2.9,10.2,2.8
26,26,Region,Midwest,6890,12.0,7.3,5.3,16.7,28.1,3.1,6.4,2.9,0.3,3.3,11.5,3.0
27,27,Region,South,12144,13.5,9.7,4.6,14.9,27.1,3.5,4.5,2.9,0.5,3.9,11.5,3.4
28,28,Region,West,4984,9.4,8.7,9.8,15.8,25.6,1.7,6.1,3.6,0.1,2.5,14.3,2.5
29,29,Family income2 ,Total in families,19877,12.2,9.4,5.2,15.7,28.6,2.1,5.4,2.6,0.5,3.7,11.6,3.0
30,30,Family income2,"Under $10,000",629,13.4,4.3,6.7,17.2,21.2,11.3,5.6,3.8,1.0,1.8,12.3,1.3
31,31,Family income2,"$10,000 to $14,999",602,23.5,3.7,6.1,15.8,20.5,5.5,8.2,2.4,0.0,2.0,10.5,2.0
32,32,Family income2,"$15,000 to $19,999",459,21.7,1.1,8.2,12.8,22.3,5.8,7.6,1.7,1.9,3.2,12.7,0.9
33,33,Family income2,"$20,000 to $29,999",1654,16.2,4.6,6.2,17.0,23.2,4.6,7.0,2.5,0.5,4.6,11.3,2.2
34,34,Family income2,"$30,000 to $39,999",1707,16.7,5.6,5.9,15.6,26.6,1.4,5.8,3.2,1.2,3.4,12.9,1.8
35,35,Family income2,"$40,000 to $49,999",1249,18.6,5.1,5.6,14.3,27.5,0.8,7.7,2.3,0.1,4.8,9.1,4.0
36,36,Family income2,"$50,000 to $74,999",3543,10.4,8.0,4.4,16.5,29.3,1.3,6.7,2.7,0.7,4.1,12.7,3.2
37,37,Family income2,"$75,000 to $99,999",2263,8.8,9.8,4.6,17.8,32.8,2.1,3.6,3.4,0.2,4.0,10.3,2.7
38,38,Family income2,"$100,000 to $149,999",2659,6.4,12.2,4.0,16.0,34.2,1.0,4.1,1.9,0.3,4.6,12.3,2.9
