,index,Selected Characteristics,Characteristic Breakdown,Not Voting (in thousands),Illness or Disability (%),Out of Town (%),Forgot to Vote (%),Not Interested (%),"Too Busy, Conflicting Schedule (%)",Transporation Problems (%),Did Not Like Candidates or Campaign Issues (%),Registration Problems (%),Bad Weather Conditions (%),Inconvenient Polling Place (%),Other Reason (%),Dont Know or Refused (%)
0,0,TOTAL, ,18933,11.7,7.9,3.0,15.4,14.3,2.6,24.8,4.4,0.0,2.1,11.1,2.7
1,1,Age,18 to 24 years,3042,2.7,13.2,4.7,17.3,18.3,1.5,20.6,5.5,0.0,2.3,10.8,3.1
2,2,Age,25 to 44 years,7246,4.7,7.1,2.4,17.2,19.2,2.0,25.2,6.0,0.0,2.3,11.5,2.6
3,3,Age,45 to 64 years,5420,12.7,7.8,3.4,15.1,12.4,2.5,27.5,2.6,0.1,2.5,10.6,2.9
4,4,Age,65 years and over,3225,33.9,5.1,2.1,10.3,2.8,5.1,23.1,2.9,0.1,1.1,11.5,2.1
5,5,Sex,Male,9366,8.3,9.9,2.8,16.8,16.0,2.0,25.1,3.9,0.1,2.3,9.8,2.9
6,6,Sex,Female,9567,15.0,5.9,3.1,14.0,12.6,3.2,24.4,4.9,0.0,2.0,12.4,2.4
7,7,Race and Hispanic origin,White alone,14766,12.1,8.1,2.8,14.5,14.4,2.4,25.9,4.5,0.1,2.1,10.6,2.6
8,8,Race and Hispanic origin,White non-Hispanic alone,12633,12.8,8.3,2.7,14.3,13.9,2.7,26.0,4.4,0.1,2.0,10.2,2.6
9,9,Race and Hispanic origin,Black alone,2645,11.7,6.7,3.7,18.6,13.5,4.5,19.6,4.0,0.0,2.6,12.4,2.7
10,10,Race and Hispanic origin,Asian alone,712,6.5,11.0,2.8,17.0,16.2,1.0,22.3,3.3,0.1,0.9,13.8,5.2
11,11,Race and Hispanic origin,Hispanic (of any race),2403,7.3,7.6,3.3,16.5,16.2,0.6,25.2,5.4,0.0,3.2,12.2,2.4
12,12,Race and Hispanic origin,White alone or in combination,15120,12.0,8.1,2.8,14.6,14.4,2.4,26.0,4.5,0.1,2.1,10.6,2.5
13,13,Race and Hispanic origin,Black alone or in combination,2824,11.3,6.5,3.5,18.9,13.7,4.3,20.5,3.7,0.0,2.5,12.5,2.6
14,14,Race and Hispanic origin,Asian alone or in combination,798,6.4,11.2,2.5,18.1,15.7,0.9,21.4,2.9,0.1,1.5,14.1,5.3
15,15,Educational attainment,Less than high school graduate,2214,19.7,3.8,4.4,13.8,10.3,5.7,23.1,3.0,0.0,1.6,12.9,1.7
16,16,Educational attainment,High school graduate,6852,13.4,6.5,3.0,17.4,13.1,2.9,24.0,4.0,0.1,2.3,10.5,2.6
17,17,Educational attainment,Some College,6154,8.7,7.8,2.6,15.4,16.7,2.1,26.1,4.5,0.0,1.8,11.6,2.7
18,18,Educational attainment,Bachelors Degree or more,3712,8.6,13.2,2.8,12.7,14.9,1.0,24.9,5.7,0.0,2.6,10.4,3.3
19,19,Nativity,Native-born citizen,17531,11.7,7.6,3.1,15.4,14.2,2.7,25.0,4.4,0.1,2.2,11.1,2.4
20,20,Nativity,Naturalized citizen,1402,11.0,11.3,1.6,15.3,15.5,0.8,22.3,3.7,0.0,1.3,11.6,5.5
21,21,Duration of residence,Less than 1 year,3565,6.6,9.6,3.0,13.7,14.9,2.6,21.6,10.6,0.0,2.1,13.0,2.3
22,22,Duration of residence,1 to 2 years,2982,8.1,6.2,3.2,15.5,18.1,3.3,25.6,5.1,0.0,2.6,9.5,2.7
23,23,Duration of residence,3 years or longer,12104,14.2,7.9,3.0,15.8,13.3,2.4,25.7,2.4,0.1,2.0,10.9,2.4
24,24,Duration of residence,"Don't know, refused",282,5.7,5.6,2.5,20.7,10.1,3.2,16.4,4.1,0.0,1.3,13.1,17.3
25,25,Region,Northeast,3235,14.3,10.6,2.4,14.3,12.3,2.7,23.6,3.8,0.1,2.2,10.5,3.5
26,26,Region,Midwest,4289,11.4,7.3,2.0,15.6,15.3,3.3,27.8,3.1,0.0,2.1,10.2,2.0
27,27,Region,South,7870,12.5,7.4,3.1,14.9,15.0,2.9,23.7,4.9,0.1,2.6,11.0,2.0
28,28,Region,West,3540,7.8,7.3,4.5,17.5,13.4,1.0,24.4,5.4,0.0,1.2,13.1,4.2
29,29,Family income2 ,Total in families,12583,11.1,8.0,2.9,16.4,15.5,1.7,23.8,4.1,0.1,2.4,11.1,2.9
30,30,Family income2,"Under $10,000",659,15.7,3.1,4.8,20.5,11.3,7.8,21.3,3.9,0.4,3.1,6.9,1.3
31,31,Family income2,"$10,000 to $14,999",517,16.9,5.1,1.2,19.5,10.0,8.6,20.6,2.4,0.0,0.2,13.1,2.4
32,32,Family income2,"$15,000 to $19,999",446,18.6,8.1,4.9,13.5,12.1,1.4,16.6,6.6,0.6,5.0,10.3,2.3
33,33,Family income2,"$20,000 to $29,999",1144,16.5,4.8,1.9,14.4,14.6,3.3,26.9,2.5,0.0,2.2,11.6,1.3
34,34,Family income2,"$30,000 to $39,999",1195,13.2,6.3,3.5,15.6,14.9,1.6,22.7,5.6,0.0,1.8,11.0,3.7
35,35,Family income2,"$40,000 to $49,999",910,12.4,6.1,4.0,19.0,16.1,0.2,20.5,4.4,0.0,2.2,12.7,2.4
36,36,Family income2,"$50,000 to $74,999",2244,8.5,6.4,2.5,14.7,16.9,0.7,25.6,5.3,0.0,1.4,14.6,3.4
37,37,Family income2,"$75,000 to $99,999",1371,7.2,7.6,2.6,14.9,21.3,1.0,24.9,3.6,0.0,3.9,10.9,1.8
38,38,Family income2,"$100,000 to $149,999",1435,6.2,12.2,2.4,20.9,14.5,0.0,24.6,4.2,0.2,2.2,8.7,3.9
39,39,Family income2,"$150,000 and over",956,5.6,16.2,4.0,15.4,17.9,0.6,21.3,4.4,0.0,3.2,8.1,3.4
40,40,Family income2,Income not reported,1706,13.2,9.3,2.7,15.2,13.6,1.0,25.7,2.3,0.0,2.8,10.4,3.8
