"Table with row headers in columns A and B, and column headers in rows 5 through 6 and rows 60 through 61.",,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Selected characteristics,,Total not voting1 ,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
TOTAL, ,"29,089",12.8,9.2,5.6,15.5,26.9,2.9,5.4,3.1,0.6,3.3,11.8,3.0
Age,18 to 24 years,"4,083",4.3,13.4,7.1,15.1,31.0,1.1,3.2,5.0,0.1,4.3,11.0,4.4
,25 to 44 years,"11,371",5.6,8.0,5.9,16.8,35.4,2.0,3.8,3.6,0.3,3.5,12.0,3.0
,45 to 64 years,"8,825",12.4,10.5,5.0,15.9,25.3,3.1,6.4,2.4,0.6,3.7,11.9,2.8
,65 years and over,"4,810",37.6,6.1,4.5,12.0,6.0,6.3,9.1,1.7,1.5,1.2,11.5,2.5
Sex,Male,"13,880",9.6,11.2,5.7,16.5,27.6,2.1,5.6,2.8,0.5,3.2,11.6,3.4
,Female,"15,209",15.7,7.4,5.4,14.6,26.2,3.6,5.1,3.4,0.7,3.4,11.9,2.7
Race and Hispanic origin,White alone,"23,261",12.7,9.5,5.4,16.0,27.0,2.5,5.7,3.0,0.6,3.4,11.2,2.9
,White non-Hispanic alone,"20,043",13.3,9.9,5.1,15.8,26.6,2.4,5.8,2.9,0.5,3.3,11.4,3.0
,Black alone,"3,483",14.9,5.7,6.3,14.2,24.9,6.1,3.2,3.8,0.4,3.1,13.7,3.6
,Asian alone,"1,289",8.7,13.5,5.8,10.9,29.1,1.4,6.2,2.2,1.1,3.2,13.9,4.0
,Hispanic (of any race),"3,564",8.9,7.7,7.2,17.1,29.9,2.8,5.3,4.1,0.8,3.8,10.4,2.0
,White alone or in combination,"23,833",12.7,9.5,5.4,15.9,27.0,2.5,5.7,3.0,0.6,3.4,11.4,2.9
,Black alone or in combination,"3,776",14.7,5.6,6.2,14.4,25.2,5.7,3.2,3.9,0.4,3.2,14.0,3.5
,Asian alone or in combination,"1,417",8.8,13.4,5.6,11.4,29.2,1.3,5.7,2.3,1.0,3.0,14.2,4.1
Educational attainment,Less than high school graduate,"2,889",24.0,4.9,6.4,16.2,17.4,6.3,5.8,1.7,1.2,2.8,11.0,2.2
,High school graduate,"9,735",13.2,6.9,5.8,17.9,25.3,3.2,6.2,2.9,0.7,3.3,11.1,3.3
,Some College,"9,606",11.3,9.7,5.9,14.8,28.9,2.4,4.9,3.3,0.4,3.6,11.7,3.1
,Bachelors Degree or more,"6,860",9.4,13.5,4.4,12.7,30.2,1.8,4.7,3.9,0.3,3.0,13.1,2.9
Nativity,Native-born citizen,"26,494",12.9,8.9,5.6,15.6,27.0,2.9,5.5,3.2,0.5,3.3,11.6,3.1
,Naturalized citizen,"2,595",11.9,12.8,5.2,14.0,25.8,3.1,4.4,2.5,1.0,3.5,13.0,2.8
Duration of residence,Less than 1 year,"4,811",7.4,9.1,6.5,12.8,27.5,3.1,4.3,8.1,0.3,3.9,15.0,2.0
,1 to 2 years,"4,419",8.7,8.0,5.8,15.4,33.1,2.7,5.3,4.6,0.1,3.4,10.7,2.3
,3 years or longer,"19,469",15.1,9.5,5.3,16.3,25.3,3.0,5.7,1.6,0.7,3.2,11.2,3.2
,"Don't know, refused",390,8.6,9.0,6.3,10.9,24.7,0.8,2.9,1.9,1.7,1.5,13.8,17.9
Region,Northeast,"5,072",15.5,11.0,3.9,14.9,25.9,2.6,5.4,3.4,1.6,2.9,10.2,2.8
,Midwest,"6,890",12.0,7.3,5.3,16.7,28.1,3.1,6.4,2.9,0.3,3.3,11.5,3.0
,South,"12,144",13.5,9.7,4.6,14.9,27.1,3.5,4.5,2.9,0.5,3.9,11.5,3.4
,West,"4,984",9.4,8.7,9.8,15.8,25.6,1.7,6.1,3.6,0.1,2.5,14.3,2.5
Family income2 ,Total in families,"19,877",12.2,9.4,5.2,15.7,28.6,2.1,5.4,2.6,0.5,3.7,11.6,3.0
,"Under $10,000",629,13.4,4.3,6.7,17.2,21.2,11.3,5.6,3.8,1.0,1.8,12.3,1.3
,"$10,000 to $14,999",602,23.5,3.7,6.1,15.8,20.5,5.5,8.2,2.4,-,2.0,10.5,2.0
,"$15,000 to $19,999",459,21.7,1.1,8.2,12.8,22.3,5.8,7.6,1.7,1.9,3.2,12.7,0.9
,"$20,000 to $29,999","1,654",16.2,4.6,6.2,17.0,23.2,4.6,7.0,2.5,0.5,4.6,11.3,2.2
,"$30,000 to $39,999","1,707",16.7,5.6,5.9,15.6,26.6,1.4,5.8,3.2,1.2,3.4,12.9,1.8
,"$40,000 to $49,999","1,249",18.6,5.1,5.6,14.3,27.5,0.8,7.7,2.3,0.1,4.8,9.1,4.0
,"$50,000 to $74,999","3,543",10.4,8.0,4.4,16.5,29.3,1.3,6.7,2.7,0.7,4.1,12.7,3.2
,"$75,000 to $99,999","2,263",8.8,9.8,4.6,17.8,32.8,2.1,3.6,3.4,0.2,4.0,10.3,2.7
,"$100,000 to $149,999","2,659",6.4,12.2,4.0,16.0,34.2,1.0,4.1,1.9,0.3,4.6,12.3,2.9
,"$150,000 and over","2,404",6.8,20.5,4.6,13.0,31.4,0.3,4.3,2.7,0.1,2.7,10.9,2.7
,Income not reported,"2,707",15.1,9.7,5.9,15.0,25.8,1.7,4.4,1.8,0.4,2.8,11.7,5.6
,,,,,,,,,,,,,,
1 Only individuals who report not voting but also report being registered are asked the question about reason for not voting.,,,,,,,,,,,,,,
"2 Family income is limited to persons who report income or refuse to answer the income question. Respondents who report not knowing their income are not included in this section, which includes only the reference person with relatives in the household or people with the following relationship to the householder: spouse, child, grandchild, parent, sibling, or other relative. This section excludes foster children, unmarried partners, non-relatives, and roommates.",,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www2.census.gov/programs-surveys/cps/techdocs/cpsnov18.pdf",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 10a. Margins of Error for Reasons For Not Voting, By Selected Characteristics: November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
